"ACS16:B24124. Detailed Occupation for the Full-Time, Year-Round Civilian Employed Population 16 Years and Over"			
Total	"106,609,098"		"81,211.52"
Chief Executives	"1,068,258"	1.00%	"10,662.42"
General and Operations Managers	"834,005"	0.80%	"7,733.33"
Legislators	"13,966"	0.00%	"1,035.76"
Advertising and Promotions Managers	"42,996"	0.00%	"1,837.58"
Marketing and Sales Managers	"843,840"	0.80%	"9,495.15"
Public Relations and Fundraising Managers	"51,121"	0.10%	"2,275.76"
Administrative Services Managers	"136,431"	0.10%	"3,595.15"
Computer and Information Systems Managers	"564,747"	0.50%	"6,369.70"
Financial Managers	"1,067,163"	1.00%	"11,153.94"
Compensation and Benefits Managers	"17,074"	0.00%	"1,425.45"
Human Resources Managers	"369,518"	0.40%	"5,498.79"
Training and Development Managers	"49,960"	0.10%	"2,335.76"
Industrial Production Managers	"220,263"	0.20%	"4,564.85"
Purchasing Managers	"181,255"	0.20%	"3,975.76"
"Transportation, Storage, and Distribution Managers"	"222,794"	0.20%	"4,429.70"
"Farmers, Ranchers, and Other Agricultural Managers"	"451,680"	0.40%	"5,935.76"
Construction Managers	"573,250"	0.50%	"7,416.36"
Education Administrators	"747,962"	0.70%	"7,599.39"
Architectural and Engineering Managers	"144,812"	0.10%	"3,612.73"
Food Service Managers	"792,807"	0.70%	"10,164.85"
Funeral Service Managers	"5,733"	0.00%	630.3
Gaming Managers	"15,477"	0.00%	"1,065.45"
Lodging Managers	"107,568"	0.10%	"3,475.15"
Medical and Health Services Managers	"606,615"	0.60%	"6,988.48"
Natural Sciences Managers	"17,916"	0.00%	"1,200.61"
Postmasters and Mail Superintendents	"20,947"	0.00%	"1,458.18"
"Property, Real Estate, and Community Association Managers"	"459,115"	0.40%	"6,492.12"
Social and Community Service Managers	"296,269"	0.30%	"5,408.48"
Emergency Management Directors	"7,304"	0.00%	841.21
"Managers, All Other"	"3,758,629"	3.50%	"19,053.33"
"Agents and Business Managers of Artists, Performers, and Athletes"	"33,337"	0.00%	"2,313.94"
"Buyers and Purchasing Agents, Farm Products"	"7,795"	0.00%	788.48
"Wholesale and Retail Buyers, Except Farm Products"	"139,871"	0.10%	"3,710.30"
"Purchasing Agents, Except Wholesale, Retail, and Farm Products"	"253,717"	0.20%	"4,786.06"
"Claims Adjusters, Appraisers, Examiners, and Investigators"	"271,129"	0.30%	"5,718.18"
Compliance Officers	"226,344"	0.20%	"4,596.97"
Cost Estimators	"122,804"	0.10%	"3,401.21"
Human Resources Workers	"678,049"	0.60%	"8,289.70"
"Compensation, Benefits, and Job Analysis Specialists"	"47,978"	0.10%	"2,159.39"
Training and Development Specialists	"111,303"	0.10%	"3,058.18"
Logisticians	"117,328"	0.10%	"2,658.79"
Management Analysts	"630,863"	0.60%	"7,023.03"
"Meeting, Convention, and Event Planners"	"96,349"	0.10%	"3,378.79"
Fundraisers	"68,581"	0.10%	"2,341.82"
Market Research Analysts and Marketing Specialists	"237,008"	0.20%	"4,920.61"
"Business Operations Specialists, All Other"	"236,553"	0.20%	"5,031.52"
Accountants and Auditors	"1,628,824"	1.50%	"13,661.21"
Appraisers and Assessors of Real Estate	"73,690"	0.10%	"2,677.58"
Budget Analysts	"42,410"	0.00%	"2,076.97"
Credit Analysts	"26,382"	0.00%	"1,917.58"
Financial Analysts	"194,932"	0.20%	"4,372.12"
Personal Financial Advisors	"327,459"	0.30%	"5,967.27"
Insurance Underwriters	"98,194"	0.10%	"3,031.52"
Financial Examiners	"14,812"	0.00%	"1,183.64"
Credit Counselors and Loan Officers	"292,543"	0.30%	"5,446.06"
"Tax Examiners and Collectors, and Revenue Agents"	"42,395"	0.00%	"1,969.09"
Tax Preparers	"55,325"	0.10%	"2,483.03"
